inTable$redshift,u,g,r,i,z
0.08489614,19.46149,17.78798,16.87465,16.41473,16.0884
0.02371584,19.24268,17.89227,17.39907,17.1726,17.1806
0.04453018,19.35629,17.61048,16.79486,16.40809,16.08042
0.09722128,19.53465,17.82408,16.97844,16.54764,16.21044
0.09081113,19.65576,17.64999,16.66104,16.2445,15.89825
0.0961268,19.46955,18.36881,17.86311,17.53552,17.42551
0.07811338,18.91732,17.71764,17.203,16.87312,16.6409
0.07109516,18.5523,16.57694,15.65033,15.21622,14.86058
0.08830715,18.2243,17.09262,16.55853,16.21928,16.0415
0.07384857,19.26402,17.73554,16.95292,16.53549,16.24391
0.08443754,18.97491,16.88231,15.90411,15.43538,15.09118
0.08276013,19.21565,17.42927,16.57992,16.09684,15.73219
0.047543,18.87961,17.70697,17.26211,16.99332,16.8358
0.09646545,19.71943,17.90971,16.94928,16.53711,16.21161
0.08554492,20.44005,18.69279,17.7739,17.35742,17.02292
0.06346498,19.09905,17.18329,16.23504,15.79083,15.41292
0.04772052,18.2662,16.04453,15.12007,14.68806,14.37788
0.02299048,19.93474,18.4763,17.79033,17.45407,17.12687
0.08659336,20.33447,18.49235,17.56391,17.16858,16.82617
0.05098828,18.44229,17.2753,16.83316,16.54615,16.35674
0.04771339,18.67368,16.78702,15.93791,15.53163,15.20496
0.08703123,19.0051,17.65648,16.96749,16.54252,16.31676
